1114,Jerry Lott,722 Route 5 53780,6414607770,0
1117,Carolyn Davis,712 4Th Street 62442,5242750934,0
1118,Scott Williams,726 Adams Street 61467,6207793733,0
1119,Lucy Norton,619 Oak Avenue 73964,6629582932,0
1120,Brittany Patel,388 East Street 56160,3164873839,0
1122,Robert Davidson,72 Route 2 16532,8750019324,0
1124,Lawrence Morales,248 2Nd Street 54120,4585469090,0
1126,Diana Benjamin,978 Park Drive 51668,8965173579,0
1129,Francis Mclaughlin,475 Summit Street 51509,1382752519,0
1131,Toni Finch,815 Eagle Street 15209,434101445,0
1133,Patricia Russell,117 Laurel Street 90282,2692951826,0
1136,Michael Marshall,313 4Th Street 62442,7238212453,0
1138,Vanessa Jones,540 Cardinal Drive 28894,7381461826,0
1140,Kevin Carlson,676 Cooper Street 44635,7679342979,0
1143,Diana Watson,952 West Street 98213,6760036637,0
1145,Gerald Parker,533 Amherst Street 21281,7001505807,0
1148,Ted Cox,980 Delaware Avenue 60098,7406525317,0
1149,Geraldine Elliott,989 Lakeview Drive 91223,5499126776,0
1150,Cynthia Peterson,640 Howard Street 66299,9319936144,0
1153,Gary Benton,216 Monroe Drive 66361,3769130625,0
1156,Maria Holman,574 College Street 22706,4118332641,0
1157,Catherine Morales,191 Forest Street 51840,6539351783,0
1160,Robert Cotton,915 5Th Street North 72755,8214043863,0
1161,Michael Sanford,323 Park Avenue 17753,4044756595,0
1163,Leona Price,257 Deerfield Drive 68689,4057678249,0
1165,Mark French,386 Church Street South 61090,6359770040,0
1166,Dianne Nichols,603 3Rd Street East 37379,7723629539,0
1167,Lisa Johnston,356 Race Street 63575,5554537551,0
1170,Zachary Martinez,963 State Street East 55515,3933357147,0
1171,Ethel Flores,574 Madison Street 93942,8397848044,0
1172,Constance Pierce,276 Route 70 57425,3204708372,0
1175,Cynthia Tyson,435 Front Street North 44301,7575204715,0
1176,Ana Roberts,103 Route 70 57425,332326429,0
1178,April White,217 Route 4 11246,1511729320,0
1179,Billy Lucas,705 Hawthorne Lane 11321,9020140123,0
1182,Yolanda Porter,957 Pennsylvania Avenue 12489,8046479304,0
1184,Marilyn White,890 Walnut Street 36565,9719871528,0
1185,Donna Morris,54 Prospect Street 10064,5520050887,0
1186,Jimmy Lee,99 Dogwood Drive 76325,6101102814,0
1188,Gordon Cantu,114 Route 27 92204,6012577171,0
1189,Anthony Leblanc,931 Route 10 86746,3485441036,0
1190,John Johnson,843 Adams Avenue 86288,8829322048,0
1192,Angela Gonzalez,331 2Nd Street East 98205,7926744072,0
1195,Maria Black,185 Lafayette Street 64870,6964904240,0
1198,Ruth Scott,434 Durham Court 85717,1778765468,0
1199,Norman Thompson,338 Lilac Lane 57436,9640450174,0
1202,Catherine Newman,73 Maple Avenue 66981,4389184930,0
1205,Carol Woods,997 Spruce Avenue 38527,1498022384,0
1207,Lawrence Patterson,339 Lincoln Avenue 59459,4534485667,0
1209,Paul Martinez,874 Ann Street 99296,5133853907,0
1211,Phillip Miranda,420 Jackson Avenue 73338,3969632005,0
1214,Crystal Sims,746 Country Club Drive 16216,5021892923,0
1217,Jeff Gill,62 Spring Street 38677,8148050662,0
1218,Mark Holt,259 Briarwood Drive 91075,5278406131,0
1220,William Butler,112 Pheasant Run 65571,457614838,0
1223,Florence Cooley,377 Route 1 56166,8400525983,0
1226,Diana Lopez,274 Valley Drive 11421,4918774156,0
1229,Ruth Scott,256 Court Street 80040,9533720210,0
1232,Patrick Duncan,417 Lake Avenue 80487,9652698710,0
1233,Linda Simmons,233 1St Street 94985,8305552923,0
1235,Annie James,425 School Street 88572,3738105021,0
1238,Angela Price,301 Center Street 42390,9845984068,0
1239,Shawn Richards,526 Route 70 57425,535279711,0
1242,Paul Buckley,54 Valley View Drive 81505,1592764787,0
1243,Brent Nichols,202 Jefferson Avenue 42202,2209468218,0
1244,Margaret Weaver,126 Hickory Lane 48325,4930619587,0
1245,Norma Wilson,478 Maple Street 98700,553921326,0
1247,Dana Forbes,423 Catherine Street 71434,8041172688,0
1249,Antonio Moreno,482 Dogwood Drive 76325,5754965919,0
1251,April Hunter,603 Clinton Street 59342,7418996152,0
1254,Brandon Fletcher,416 Orchard Avenue 63354,5536064834,0
1257,Ruby Jarvis,379 Hillcrest Avenue 41232,6978327480,0
1259,Constance Pierce,458 Colonial Avenue 82727,2279159541,0
1261,Janice Espinoza,386 Victoria Court 40594,1858829916,0
1262,David Flores,673 Cedar Court 10703,5920566044,0
1263,Grace Sellers,119 Eagle Street 15209,804823655,0
1266,Dorothy Green,138 Pine Street 48491,6805305718,0
1268,Joan Perez,242 King Street 90475,5682761317,0
1271,Ana Roberts,320 Grove Street 73877,7490290002,0
1272,Margaret Stanley,398 Hamilton Street 23575,8007306821,0
1275,Holly Ballard,535 6Th Street 28518,2024533378,0
1276,Felicia Henderson,933 Division Street 59658,143248398,0
1279,Maria Collins,295 3Rd Street 26040,7192695823,0
1280,Matthew Osborn,708 Sycamore Street 63050,8963511174,0
1282,Hazel White,288 Cherry Lane 67510,4705822538,0
1284,Holly Nelson,890 3Rd Avenue 74459,5096573674,0
1287,Carol Goodwin,737 6Th Street West 12317,2270215536,0
1289,Kimberly Thomas,429 Church Street South 61090,6701809916,0
1290,Dean Wilkerson,756 Spruce Street 96427,653995988,0
1293,Elizabeth Kelly,870 Walnut Street 36565,4015090204,0
1294,Carol Goodwin,18 Roberts Road 26110,4287501426,0
1297,Dave Moore,635 Hickory Lane 48325,6244253298,0
1300,Mary Skinner,813 Washington Avenue 12873,2280351605,0
1301,Alfred Mitchell,548 Cypress Court 75516,9869230099,0
1302,Janice Benton,327 9Th Street 33548,6175001856,0
1305,Allan Jones,262 Clark Street 99043,9103763503,0
1307,Lisa Briggs,875 Oak Street 26671,6538749884,0
1310,Norma Scott,926 Cedar Street 72506,1403362921,0
1311,Mary Hawkins,862 Forest Street 51840,4750719544,0
1314,Henry Barnes,760 Sherwood Drive 52970,1221938762,0
1316,Richard Lee,605 Evergreen Lane 27101,6679456490,0
1318,Bonnie Hardy,476 14Th Street 14157,6585665962,0
1319,Michael Higgins,321 7Th Avenue 22882,7179323046,0
1321,Michael Williams,466 Pearl Street 21449,3568904101,0
1322,Henry Wise,779 Hickory Street 67599,1111159621,0
1323,Jimmie Moore,406 Main Street East 78095,2027703791,0
1324,Douglas Knox,264 Main Street West 17811,7075960891,0
1327,Alfred Mitchell,684 Surrey Lane 94111,3448080852,0
1328,Karen Mitchell,431 Edgewood Road 41467,5515503393,0
1330,Antonio Rosario,768 Depot Street 21974,1934447563,0
1333,Diana Benjamin,162 Myrtle Avenue 14168,6004999342,0
1334,Jackie Newman,154 Mulberry Street 21339,9308567857,0
1335,David Baker,818 Canterbury Road 66583,262862305,0
1337,Rosa Peterson,76 Ashley Court 45463,9206346013,0
1340,Elizabeth Young,467 Creekside Drive 16354,9384611737,0
1341,Matthew Osborn,509 Main Street East 78095,889198831,0
1343,Robin Rowe,593 5Th Street South 22740,1745382221,0
1346,Cynthia Peterson,481 10Th Street 79195,3008300746,0
1349,Joyce Powell,61 Route 64 39035,5435357037,0
1352,Christopher White,397 Briarwood Drive 91075,6528571905,0
1354,Stanley Ruiz,659 Linden Street 40902,1819552963,0
1355,Patricia Russell,566 Orchard Street 93832,9376962845,0
1356,Robert Cotton,314 Hillside Drive 96710,7609320072,0
1357,Lois Oconnor,693 Cambridge Drive 38349,8514271021,0
1359,Paul Buckley,465 Somerset Drive 78392,4604717258,0
1360,Mary Reed,525 Sherman Street 96935,1118191684,0
1362,Jacob Hamilton,351 Magnolia Drive 84403,8637228992,0
1363,Catherine Rice,404 Catherine Street 71434,5204988545,0
1365,Pamela Gonzales,28 Valley View Drive 81505,4221263836,0
1368,Glenn Martin,681 Fairway Drive 90197,8412485736,0
1371,Ashley Webb,149 Laurel Street 90282,4283300211,0
1374,Ronald Williams,896 Charles Street 31812,7585873322,0
1375,Annette Clarke,949 Hickory Street 67599,6962955223,0
1376,Angela Price,122 Cherry Street 83940,1763565117,0
1378,Kelly West,554 Cross Street 42857,8449270871,0
1381,Kimberly Kennedy,382 Oak Street 26671,894059258,0
1384,Betty Weaver,472 Meadow Lane 94354,5699406258,0
1385,Eric Potter,234 Broad Street 25652,7489507325,0
1386,Karen Mitchell,636 Mulberry Street 21339,1415278432,0
1389,Susan Phelps,225 Arch Street 25098,5331621470,0
1392,Jackie Newman,132 Forest Drive 91599,8766026863,0
1394,Anthony Joseph,310 Route 1 56166,7700787468,0
1395,Kevin Carlson,538 Augusta Drive 43370,5431283534,0
1396,Thomas Hayes,423 Railroad Street 73821,7568324957,0
1398,Robert Alvarado,955 Surrey Lane 94111,5714970796,0
